,date,open,close,high,low,volume,code
0,2000-01-04,3.129,3.204,3.252,3.063,3073.37,600062
1,2000-01-05,3.249,3.194,3.249,3.129,4630.27,600062
2,2000-01-06,3.135,3.298,3.324,3.135,5375.01,600062
3,2000-01-07,3.357,3.432,3.477,3.324,13639.38,600062
4,2000-01-10,3.471,3.552,3.578,3.389,18768.03,600062
5,2000-01-11,3.585,3.35,3.585,3.295,10593.31,600062
6,2000-01-12,3.324,3.23,3.406,3.226,9304.38,600062
7,2000-01-13,3.233,3.174,3.259,3.168,4211.0,600062
8,2000-01-14,3.187,3.178,3.226,3.161,3875.93,600062
9,2000-01-17,3.178,3.207,3.226,3.132,3189.92,600062
10,2000-01-18,3.207,3.226,3.259,3.187,2781.0,600062
11,2000-01-19,3.21,3.324,3.331,3.21,5305.58,600062
12,2000-01-20,3.337,3.363,3.386,3.324,5291.59,600062
13,2000-01-21,3.363,3.298,3.383,3.269,8700.77,600062
14,2000-01-24,3.298,3.373,3.419,3.178,12347.78,600062
15,2000-01-25,3.396,3.314,3.415,3.269,8009.01,600062
16,2000-01-26,3.292,3.298,3.357,3.269,4426.44,600062
17,2000-01-27,3.298,3.353,3.357,3.298,9695.62,600062
18,2000-01-28,3.373,3.34,3.383,3.285,11382.4,600062
19,2000-02-14,3.428,3.676,3.676,3.428,25655.2,600062
20,2000-02-15,3.741,3.52,3.764,3.455,32187.21,600062
21,2000-02-16,3.49,3.448,3.49,3.383,25922.59,600062
22,2000-02-17,3.481,3.647,3.683,3.422,40702.77,600062
23,2000-02-18,3.617,3.562,3.617,3.464,15364.23,600062
24,2000-02-21,3.617,3.738,3.829,3.552,43058.24,600062
25,2000-02-22,3.748,3.585,3.881,3.556,35858.4,600062
26,2000-02-23,3.549,3.503,3.601,3.438,17310.36,600062
27,2000-02-24,3.487,3.679,3.715,3.487,31254.34,600062
28,2000-02-25,3.709,3.748,3.839,3.683,46008.87,600062
29,2000-02-28,3.829,3.969,3.976,3.806,73690.78,600062
30,2000-02-29,4.041,3.842,4.041,3.767,43308.74,600062
31,2000-03-01,3.862,3.748,3.862,3.718,23066.2,600062
32,2000-03-02,3.738,3.741,3.813,3.686,19681.53,600062
33,2000-03-03,3.764,3.692,3.829,3.657,23880.41,600062
34,2000-03-06,3.699,3.52,3.741,3.503,20998.8,600062
35,2000-03-07,3.455,3.771,3.774,3.448,33267.71,600062
36,2000-03-08,3.797,3.767,3.797,3.683,13587.37,600062
37,2000-03-09,3.764,3.793,3.842,3.748,19761.1,600062
38,2000-03-10,3.806,3.741,3.813,3.683,12779.89,600062
39,2000-03-13,3.846,3.875,4.009,3.839,45710.96,600062
40,2000-03-14,3.842,3.921,3.924,3.689,28241.17,600062
41,2000-03-15,3.908,3.921,4.057,3.881,44789.9,600062
42,2000-03-16,3.921,3.715,3.96,3.696,25571.7,600062
43,2000-03-17,3.715,3.908,3.927,3.715,36642.67,600062
44,2000-03-20,3.872,3.999,4.022,3.829,41575.06,600062
45,2000-03-21,3.976,3.969,3.999,3.901,17016.18,600062
46,2000-03-22,3.969,4.025,4.126,3.914,29076.1,600062
47,2000-03-23,4.064,4.168,4.198,3.996,47867.92,600062
48,2000-03-24,4.204,4.132,4.302,4.083,52836.08,600062
49,2000-03-27,4.286,4.546,4.546,4.286,30034.0,600062
50,2000-03-28,4.999,4.589,5.003,4.51,133572.31,600062
51,2000-03-29,4.563,4.484,4.589,4.338,50906.42,600062
52,2000-03-30,4.484,4.517,4.53,4.361,24781.38,600062
53,2000-03-31,4.497,4.354,4.497,4.341,25187.23,600062
54,2000-04-03,4.302,4.253,4.354,4.253,25834.0,600062
55,2000-04-04,4.237,4.302,4.383,4.139,26455.96,600062
56,2000-04-05,4.302,4.22,4.364,4.165,19891.31,600062
57,2000-04-06,4.253,4.351,4.351,4.198,22312.53,600062
58,2000-04-07,4.367,4.455,4.497,4.302,20642.45,600062
59,2000-04-10,4.465,4.393,4.494,4.347,19266.41,600062
60,2000-04-11,4.4,4.468,4.553,4.4,27906.03,600062
61,2000-04-13,4.556,4.439,4.563,4.403,10737.99,600062
62,2000-04-14,4.439,4.312,4.468,4.237,21502.6,600062
63,2000-04-17,4.237,4.155,4.269,4.074,27064.0,600062
64,2000-04-18,4.155,4.217,4.224,4.139,10346.79,600062
65,2000-04-19,4.23,4.256,4.361,4.23,13311.91,600062
66,2000-04-20,4.263,4.383,4.4,4.191,14520.45,600062
67,2000-04-21,4.4,4.383,4.53,4.334,17403.18,600062
68,2000-04-24,4.393,4.357,4.445,4.341,12536.88,600062
69,2000-04-25,4.357,4.354,4.383,4.318,9911.15,600062
70,2000-04-26,4.393,4.325,4.429,4.302,20793.1,600062
71,2000-04-27,4.334,4.206,4.355,4.188,14771.15,600062
72,2000-04-28,4.201,4.248,4.261,4.141,13059.11,600062
73,2000-05-08,4.27,4.27,4.308,4.248,11347.37,600062
74,2000-05-09,4.27,4.325,4.432,4.27,25472.99,600062
75,2000-05-10,4.312,4.129,4.355,4.077,16682.67,600062
76,2000-05-11,4.141,4.129,4.218,4.086,12085.15,600062
77,2000-05-12,4.141,4.099,4.227,4.056,8556.1,600062
78,2000-05-15,4.12,3.979,4.12,3.971,7388.65,600062
79,2000-05-16,3.992,3.984,4.06,3.971,8654.74,600062
80,2000-05-17,4.013,4.013,4.06,3.984,4218.88,600062
81,2000-05-18,4.022,4.103,4.107,4.005,6702.12,600062
82,2000-05-19,4.124,4.312,4.359,4.099,22326.73,600062
83,2000-05-22,4.334,4.308,4.376,4.27,21343.19,600062
84,2000-05-23,4.338,4.325,4.432,4.295,20922.12,600062
85,2000-05-24,4.393,4.59,4.697,4.393,90408.18,600062
86,2000-05-25,4.645,4.632,4.731,4.603,50336.01,600062
87,2000-05-26,4.654,4.551,4.675,4.487,32647.5,600062
88,2000-05-29,4.556,4.654,4.675,4.551,36565.88,600062
89,2000-05-30,4.739,4.624,4.855,4.611,49249.25,600062
90,2000-05-31,4.611,4.726,4.769,4.547,35059.86,600062
91,2000-06-01,4.739,4.697,4.773,4.654,26294.38,600062
92,2000-06-02,4.697,4.688,4.722,4.637,27420.78,600062
93,2000-06-05,4.688,4.778,4.936,4.675,77316.92,600062
94,2000-06-06,4.778,4.91,4.931,4.761,55930.17,600062
95,2000-06-07,4.944,4.931,4.987,4.855,34368.31,600062
96,2000-06-08,5.017,4.91,5.017,4.846,24549.84,600062
97,2000-06-09,4.901,4.79,4.919,4.778,39685.76,600062
98,2000-06-12,4.697,4.773,4.825,4.697,22284.26,600062
99,2000-06-13,4.846,4.867,4.867,4.778,20003.34,600062
100,2000-06-14,4.889,4.91,4.953,4.859,29553.37,600062
101,2000-06-15,4.91,4.953,4.995,4.901,22511.97,600062
102,2000-06-16,4.995,5.068,5.2,4.966,49542.76,600062
103,2000-06-19,5.068,5.038,5.153,4.995,19071.73,600062
104,2000-06-20,5.038,4.876,5.055,4.855,17433.51,600062
105,2000-06-21,4.863,4.944,4.978,4.825,13575.65,600062
106,2000-06-22,4.944,5.03,5.077,4.944,13797.29,600062
107,2000-06-23,5.123,5.081,5.145,4.953,18184.56,600062
108,2000-06-26,5.123,5.252,5.316,5.072,44318.66,600062
109,2000-06-27,5.252,5.264,5.328,5.209,14715.9,600062
110,2000-06-28,5.273,5.252,5.286,5.192,14898.51,600062
111,2000-06-29,5.175,5.166,5.252,5.123,15144.45,600062
112,2000-06-30,5.209,5.205,5.363,5.162,23553.83,600062
113,2000-07-03,5.166,5.141,5.277,5.085,15870.8,600062
114,2000-07-04,5.081,5.209,5.209,5.081,11927.83,600062
115,2000-07-05,5.2,5.23,5.328,5.2,11740.99,600062
116,2000-07-06,5.23,5.328,5.371,5.192,26840.29,600062
117,2000-07-07,5.337,5.461,5.478,5.32,22559.07,600062
118,2000-07-10,5.499,5.495,5.542,5.444,17417.06,600062
119,2000-07-11,5.495,5.61,5.657,5.465,22271.96,600062
120,2000-07-12,5.627,5.679,5.764,5.614,34494.23,600062
121,2000-07-13,5.679,5.474,5.7,5.474,28553.71,600062
122,2000-07-14,5.465,5.486,5.491,5.38,19430.86,600062
123,2000-07-17,5.486,5.405,5.508,5.38,12488.44,600062
124,2000-07-18,5.384,5.341,5.414,5.316,14842.45,600062
125,2000-07-19,5.341,5.422,5.474,5.337,15016.05,600062
126,2000-07-20,5.427,5.41,5.465,5.388,19428.77,600062
127,2000-07-21,5.41,5.337,5.422,5.324,10786.6,600062
128,2000-07-24,5.337,5.183,5.337,5.166,19659.57,600062
129,2000-07-25,5.17,5.585,5.674,5.123,42355.65,600062
130,2000-07-26,5.636,5.657,5.836,5.593,58788.21,600062
131,2000-07-27,5.644,5.67,5.755,5.521,33799.58,600062
132,2000-07-28,5.67,5.743,5.828,5.67,28500.48,600062
133,2000-07-31,6.02,5.649,6.02,5.597,32302.98,600062
134,2000-08-01,5.644,5.674,5.76,5.636,11969.13,600062
135,2000-08-02,5.67,5.661,5.807,5.623,18679.79,600062
136,2000-08-03,5.704,5.764,5.849,5.674,15701.75,600062
137,2000-08-04,5.807,5.926,6.02,5.764,34512.81,600062
138,2000-08-07,5.935,5.973,6.02,5.892,16380.15,600062
139,2000-08-08,5.982,5.969,6.029,5.896,9806.76,600062
140,2000-08-09,5.977,6.041,6.148,5.969,20307.88,600062
141,2000-08-10,6.054,5.901,6.054,5.892,16798.23,600062
142,2000-08-11,5.901,5.854,5.956,5.828,11297.01,600062
143,2000-08-14,5.896,5.879,5.956,5.841,14277.63,600062
144,2000-08-15,5.888,5.883,5.956,5.849,9927.78,600062
145,2000-08-16,5.892,6.059,6.234,5.883,49074.05,600062
146,2000-08-17,6.319,6.041,6.319,6.012,14854.23,600062
147,2000-08-18,6.02,5.986,6.063,5.956,9096.12,600062
148,2000-08-21,5.986,5.986,6.033,5.965,11628.71,600062
149,2000-08-22,5.999,5.888,6.02,5.883,14493.78,600062
150,2000-08-23,5.845,5.828,5.871,5.61,32032.89,600062
151,2000-08-24,5.807,5.892,5.935,5.785,13064.85,600062
152,2000-08-25,5.841,5.875,5.935,5.824,6684.11,600062
153,2000-08-28,5.909,5.918,5.956,5.875,7731.28,600062
154,2000-08-29,5.926,5.888,5.973,5.845,15972.86,600062
155,2000-08-30,5.901,5.828,5.935,5.828,10474.92,600062
156,2000-08-31,5.798,5.636,5.798,5.614,25026.74,600062
157,2000-09-01,5.614,5.627,5.849,5.593,19396.87,600062
158,2000-09-04,5.636,5.636,5.721,5.606,7238.26,600062
159,2000-09-05,5.721,5.636,5.755,5.627,8059.89,600062
160,2000-09-06,5.636,5.546,5.636,5.516,11683.5,600062
161,2000-09-07,5.469,5.61,5.614,5.469,8256.55,600062
162,2000-09-08,5.636,5.683,5.704,5.614,6579.5,600062
163,2000-09-11,5.657,5.67,5.687,5.632,2991.27,600062
164,2000-09-12,5.67,5.755,5.764,5.657,4679.12,600062
165,2000-09-13,5.755,5.721,5.755,5.691,4463.93,600062
166,2000-09-14,5.721,5.79,5.841,5.721,6976.26,600062
167,2000-09-15,5.768,5.764,5.79,5.721,4063.18,600062
168,2000-09-18,5.764,5.666,5.841,5.657,4379.92,600062
169,2000-09-19,5.632,5.555,5.657,5.55,9101.87,600062
170,2000-09-20,5.55,5.585,5.614,5.469,5742.25,600062
171,2000-09-21,5.593,5.661,5.743,5.589,8124.54,600062
172,2000-09-22,5.644,5.576,5.649,5.576,2966.98,600062
173,2000-09-25,5.593,5.55,5.593,5.469,3556.28,600062
174,2000-09-26,5.568,5.653,5.704,5.555,6527.84,600062
175,2000-09-27,5.653,5.807,5.858,5.636,9482.09,600062
176,2000-09-28,5.807,5.918,5.935,5.798,17930.35,600062
177,2000-09-29,5.918,6.067,6.468,5.849,85501.79,600062
178,2000-10-09,6.067,6.413,6.447,6.063,29177.66,600062
179,2000-10-10,6.596,6.323,6.609,6.238,33389.43,600062
180,2000-10-11,6.319,6.345,6.362,6.234,12021.06,600062
181,2000-10-12,6.319,6.319,6.511,6.229,15296.05,600062
182,2000-10-13,6.319,6.165,6.413,6.165,12356.68,600062
183,2000-10-16,6.225,6.191,6.396,6.148,8716.29,600062
184,2000-10-17,6.195,6.319,6.319,6.187,3972.2,600062
