,date,open,close,high,low,volume,code
0,2010-03-26,9.479,9.955,10.179,9.307,86756.94,300065
1,2010-03-29,9.824,10.668,10.915,9.738,59275.59,300065
2,2010-03-30,10.306,10.496,10.935,10.17,42588.09,300065
3,2010-03-31,10.543,11.185,11.308,10.515,36481.01,300065
4,2010-04-01,11.197,10.798,11.692,10.694,38497.62,300065
5,2010-04-02,10.479,10.548,10.906,10.46,25201.76,300065
6,2010-04-06,10.637,10.82,10.827,10.375,17383.48,300065
7,2010-04-07,10.772,11.116,11.263,10.648,21896.11,300065
8,2010-04-08,11.03,10.53,11.27,10.474,23179.92,300065
9,2010-04-09,10.427,10.534,10.684,10.398,16189.65,300065
10,2010-04-12,10.617,10.494,10.77,10.427,13997.1,300065
11,2010-04-13,10.344,9.581,10.493,9.445,25836.0,300065
12,2010-04-14,9.433,9.515,9.764,9.433,9491.38,300065
13,2010-04-15,9.536,8.829,9.614,8.617,15324.14,300065
14,2010-04-16,8.831,9.007,9.022,8.626,8531.62,300065
15,2010-04-19,8.962,9.066,9.445,8.836,13309.19,300065
16,2010-04-20,9.069,8.728,9.184,8.169,8625.71,300065
17,2010-04-21,8.652,9.005,9.066,8.535,6956.91,300065
18,2010-04-22,9.047,9.134,9.286,8.933,8735.14,300065
19,2010-04-23,9.136,8.962,9.286,8.943,7510.99,300065
20,2010-04-26,8.945,8.536,8.945,8.531,6035.39,300065
21,2010-04-27,8.287,7.985,8.445,7.757,9705.61,300065
22,2010-04-28,7.825,7.738,7.983,7.583,6150.83,300065
23,2010-04-29,7.771,7.494,7.89,7.494,6902.77,300065
24,2010-04-30,7.268,7.345,7.497,6.98,6624.55,300065
25,2010-05-04,7.194,7.287,7.409,7.001,3786.29,300065
26,2010-05-05,7.232,7.652,7.704,7.089,7856.8,300065
27,2010-05-06,7.687,7.239,7.687,7.239,5310.91,300065
28,2010-05-07,7.084,7.447,7.501,7.013,6836.42,300065
29,2010-05-10,7.327,7.752,7.807,7.096,8829.79,300065
30,2010-05-11,7.925,7.807,7.925,7.637,8820.02,300065
31,2010-05-12,7.721,7.278,7.756,7.127,5350.59,300065
32,2010-05-13,7.239,7.626,7.633,7.17,5349.8,300065
33,2010-05-14,7.568,7.73,7.85,7.414,6577.44,300065
34,2010-05-17,7.57,7.094,7.583,7.094,5575.62,300065
35,2010-05-18,7.132,6.789,7.132,6.442,8168.0,300065
36,2010-05-19,6.687,6.82,6.98,6.558,5353.24,300065
37,2010-05-20,6.722,6.498,6.839,6.489,4924.4,300065
38,2010-05-21,6.27,6.658,6.704,5.877,5403.7,300065
39,2010-05-24,6.548,6.977,7.032,6.548,7003.35,300065
40,2010-05-25,6.928,7.202,7.299,6.792,10589.99,300065
41,2010-05-26,7.118,7.218,7.237,7.084,5547.8,300065
42,2010-05-27,7.204,7.309,7.377,7.023,5932.31,300065
43,2010-05-28,7.327,7.209,7.514,7.199,5423.17,300065
44,2010-05-31,7.149,7.013,7.387,7.011,4411.6,300065
45,2010-06-01,6.896,6.656,6.994,6.48,3580.42,300065
46,2010-06-02,6.57,6.728,6.747,6.57,2144.4,300065
47,2010-06-03,6.753,6.725,6.956,6.725,4063.67,300065
48,2010-06-04,6.787,6.908,6.916,6.689,3574.22,300065
49,2010-06-07,6.725,7.183,7.239,6.722,6000.92,300065
50,2010-06-08,7.163,7.559,7.566,7.097,11247.22,300065
51,2010-06-09,7.582,7.773,8.011,7.451,14357.86,300065
52,2010-06-10,7.756,7.811,7.916,7.657,8142.02,300065
53,2010-06-17,8.1,7.597,8.102,7.552,8385.66,300065
54,2010-06-18,7.485,7.404,7.704,7.378,6046.0,300065
55,2010-06-21,7.411,8.145,8.145,7.325,11321.7,300065
56,2010-06-22,8.221,8.345,8.578,8.118,13551.93,300065
57,2010-06-23,8.169,8.347,8.504,8.031,8327.8,300065
58,2010-06-24,8.324,8.081,8.428,8.075,5650.52,300065
59,2010-06-25,7.988,7.719,8.062,7.445,9678.56,300065
60,2010-06-28,7.583,7.204,7.626,7.161,22276.58,300065
61,2010-06-29,7.18,6.484,7.22,6.484,15122.99,300065
62,2010-06-30,6.344,6.442,6.48,6.215,9408.65,300065
63,2010-07-01,6.41,6.084,6.48,6.036,10537.51,300065
64,2010-07-02,6.101,5.989,6.113,5.689,8915.29,300065
65,2010-07-05,5.827,5.891,5.951,5.722,5020.78,300065
66,2010-07-06,5.777,6.06,6.127,5.775,8142.42,300065
67,2010-07-07,6.091,6.115,6.168,5.946,5239.74,300065
68,2010-07-08,6.137,6.127,6.205,5.96,6655.69,300065
69,2010-07-09,6.118,6.337,6.356,5.986,8628.85,300065
70,2010-07-12,6.322,6.318,6.463,6.232,7101.0,300065
71,2010-07-13,6.205,6.132,6.318,5.946,5878.22,300065
72,2010-07-14,6.136,6.101,6.213,6.056,5324.41,300065
73,2010-07-15,6.101,5.893,6.143,5.893,4403.6,300065
74,2010-07-16,5.827,5.963,5.963,5.779,3942.16,300065
75,2010-07-19,5.86,6.084,6.11,5.793,3015.74,300065
76,2010-07-20,6.086,6.317,6.325,6.086,6383.32,300065
77,2010-07-21,6.299,6.261,6.46,6.237,7764.27,300065
78,2010-07-22,6.236,6.386,6.454,6.205,5654.22,300065
79,2010-07-23,6.408,6.394,6.523,6.317,8021.03,300065
80,2010-07-26,6.46,6.429,6.46,6.346,4595.56,300065
81,2010-07-27,6.42,6.373,6.477,6.36,4970.65,300065
82,2010-07-28,6.325,6.479,6.479,6.325,7043.06,300065
83,2010-07-29,6.463,6.618,6.632,6.454,8448.29,300065
84,2010-07-30,6.61,6.601,6.627,6.489,5483.79,300065
85,2010-08-02,6.601,6.704,6.71,6.553,5991.08,300065
86,2010-08-03,6.825,6.516,6.825,6.516,5633.65,300065
87,2010-08-04,6.489,6.484,6.544,6.354,5502.02,300065
88,2010-08-05,6.484,6.522,6.579,6.454,5970.01,300065
89,2010-08-06,6.468,6.666,6.668,6.468,5525.47,300065
90,2010-08-09,6.687,6.963,6.98,6.67,9008.0,300065
91,2010-08-10,6.911,6.561,6.996,6.549,8024.74,300065
92,2010-08-11,6.541,6.663,6.684,6.541,4054.75,300065
93,2010-08-12,6.57,6.62,6.753,6.549,6138.3,300065
94,2010-08-13,6.575,6.825,6.834,6.575,4944.96,300065
95,2010-08-16,6.828,6.932,6.978,6.827,7059.66,300065
96,2010-08-17,6.93,6.903,6.953,6.837,5074.6,300065
97,2010-08-18,6.98,6.88,6.98,6.834,3403.0,300065
98,2010-08-19,6.739,6.975,7.006,6.739,8258.08,300065
99,2010-08-20,6.98,6.672,7.027,6.666,9281.99,300065
100,2010-08-23,6.635,6.706,6.766,6.635,4990.58,300065
101,2010-08-24,6.706,6.718,6.784,6.553,3655.54,300065
102,2010-08-25,6.704,6.449,6.704,6.429,4537.35,300065
103,2010-08-26,6.449,6.513,6.548,6.449,2839.0,300065
104,2010-08-27,6.525,6.542,6.549,6.394,3511.0,300065
105,2010-08-30,6.566,6.747,6.763,6.566,4828.0,300065
106,2010-08-31,6.722,6.885,6.951,6.687,6432.0,300065
107,2010-09-01,6.894,6.741,6.978,6.691,7873.0,300065
108,2010-09-02,6.766,6.98,6.989,6.739,7729.0,300065
109,2010-09-03,6.996,7.163,7.304,6.996,9992.0,300065
110,2010-09-06,7.187,6.946,7.237,6.859,6598.0,300065
111,2010-09-07,6.894,7.003,7.03,6.894,2912.0,300065
112,2010-09-08,6.92,6.949,6.996,6.92,3536.0,300065
113,2010-09-09,6.963,7.021,7.109,6.903,5736.0,300065
114,2010-09-10,7.025,7.135,7.325,7.025,13269.0,300065
115,2010-09-13,7.14,7.166,7.216,7.07,5926.0,300065
116,2010-09-14,7.17,7.008,7.17,6.949,5122.0,300065
117,2010-09-15,7.011,6.666,7.011,6.653,5997.0,300065
118,2010-09-16,6.672,6.406,6.704,6.377,5225.0,300065
119,2010-09-17,6.425,6.408,6.461,6.387,2158.0,300065
120,2010-09-20,6.413,6.377,6.463,6.377,2346.0,300065
121,2010-09-21,6.377,6.222,6.451,6.201,2514.0,300065
122,2010-09-28,6.342,6.229,6.342,6.213,2593.0,300065
123,2010-09-29,6.287,6.284,6.287,6.125,2237.0,300065
124,2010-09-30,6.199,6.392,6.408,6.199,2347.0,300065
125,2010-10-08,6.344,6.48,6.52,6.344,2444.0,300065
126,2010-10-11,6.484,6.467,6.525,6.411,3549.0,300065
127,2010-10-12,6.43,6.487,6.563,6.43,2757.0,300065
128,2010-10-13,6.411,6.427,6.48,6.308,2711.0,300065
129,2010-10-14,6.427,6.279,6.491,6.273,4069.0,300065
130,2010-10-15,6.239,6.084,6.272,6.067,7011.0,300065
131,2010-10-18,6.067,5.912,6.067,5.765,8651.0,300065
132,2010-10-19,5.912,6.282,6.411,5.879,13287.0,300065
133,2010-10-20,6.174,6.329,6.461,6.17,9358.0,300065
134,2010-10-21,6.308,6.224,6.308,6.167,4505.0,300065
135,2010-10-22,6.206,6.368,6.444,6.206,5749.0,300065
136,2010-10-25,6.465,6.606,6.644,6.463,9585.0,300065
137,2010-10-26,6.618,6.565,6.665,6.491,6187.0,300065
138,2010-10-27,6.565,6.587,6.725,6.546,6049.0,300065
139,2010-10-28,6.53,6.532,6.653,6.492,6010.0,300065
140,2010-10-29,6.61,6.989,7.101,6.61,16228.0,300065
141,2010-11-01,7.068,7.688,7.688,7.068,21927.0,300065
142,2010-11-02,7.911,7.502,8.08,7.423,17746.0,300065
143,2010-11-03,7.325,7.218,7.501,7.19,9562.0,300065
144,2010-11-04,7.213,7.582,7.583,7.161,8699.0,300065
145,2010-11-05,7.687,8.095,8.269,7.583,15515.0,300065
146,2010-11-08,8.095,8.097,8.221,7.911,9950.0,300065
147,2010-11-09,8.252,8.075,8.583,8.069,13572.0,300065
148,2010-11-10,8.083,8.187,8.321,8.028,8327.0,300065
149,2010-11-11,8.131,8.187,8.6,8.131,12388.0,300065
150,2010-11-12,8.187,7.514,8.273,7.442,17063.0,300065
151,2010-11-15,7.511,7.937,7.937,7.511,10108.0,300065
152,2010-11-16,7.942,8.095,8.376,7.876,13351.0,300065
153,2010-11-17,8.031,8.049,8.438,7.885,9052.0,300065
154,2010-11-18,8.169,8.007,8.262,7.876,4750.0,300065
155,2010-11-19,8.012,8.428,8.431,7.98,8428.0,300065
156,2010-11-22,8.478,8.7,8.816,8.478,9343.0,300065
157,2010-11-23,8.562,8.871,8.962,8.562,7027.0,300065
158,2010-11-24,8.79,8.916,9.131,8.723,7777.0,300065
159,2010-11-25,9.002,8.731,9.002,8.583,6127.0,300065
160,2010-11-26,8.704,8.743,8.85,8.617,3556.0,300065
161,2010-11-29,8.743,8.755,8.893,8.514,5322.0,300065
162,2010-11-30,8.666,8.381,8.754,8.1,6983.0,300065
163,2010-12-01,8.321,8.359,8.445,8.152,4630.0,300065
164,2010-12-02,8.376,8.25,8.442,8.135,5406.0,300065
165,2010-12-03,8.1,7.84,8.242,7.79,7181.0,300065
166,2010-12-06,7.775,7.687,7.875,7.58,4112.0,300065
167,2010-12-07,7.695,8.031,8.075,7.652,7141.0,300065
168,2010-12-08,7.954,8.095,8.238,7.954,6113.0,300065
169,2010-12-09,8.083,7.928,8.083,7.871,2797.0,300065
170,2010-12-10,8.014,8.497,8.531,7.752,7171.0,300065
171,2010-12-14,9.114,9.346,9.346,8.959,4705.0,300065
172,2010-12-15,9.858,9.591,10.232,9.479,20854.0,300065
173,2010-12-16,9.359,10.112,10.324,9.359,15630.0,300065
174,2010-12-17,10.131,9.876,10.131,9.686,7568.0,300065
175,2010-12-20,9.884,9.703,10.034,9.479,7879.0,300065
176,2010-12-21,9.686,9.824,10.082,9.686,7091.0,300065
177,2010-12-22,9.741,9.617,9.824,9.531,3420.0,300065
178,2010-12-23,9.565,9.138,9.751,9.138,6466.0,300065
179,2010-12-24,9.048,8.91,9.186,8.89,4267.0,300065
180,2010-12-27,8.931,8.686,9.231,8.621,4472.0,300065
181,2010-12-28,8.598,8.859,8.993,8.598,3503.0,300065
182,2010-12-29,8.878,9.324,9.341,8.704,4339.0,300065
183,2010-12-30,9.14,9.372,9.4,9.138,3395.0,300065
184,2010-12-31,9.303,9.738,9.789,9.29,4261.0,300065
185,2011-01-04,9.651,9.557,9.651,9.429,6440.0,300065
186,2011-01-05,9.557,9.35,9.641,9.35,5735.0,300065
187,2011-01-06,9.343,9.39,9.445,9.117,4490.0,300065
188,2011-01-07,9.359,8.859,9.376,8.791,6094.0,300065
189,2011-01-10,8.721,8.547,9.029,8.531,5150.0,300065
190,2011-01-11,8.598,8.617,8.678,8.333,3072.0,300065
191,2011-01-12,8.617,8.442,8.755,8.247,5286.0,300065
192,2011-01-13,8.548,8.516,8.7,8.442,3211.0,300065
193,2011-01-14,8.517,8.121,8.545,8.106,4224.0,300065
194,2011-01-17,8.111,7.842,8.111,7.816,3005.0,300065
195,2011-01-18,7.816,7.881,7.966,7.816,1787.0,300065
196,2011-01-19,7.887,8.152,8.152,7.885,2850.0,300065
197,2011-01-20,8.187,7.807,8.199,7.759,2471.0,300065
198,2011-01-21,7.775,7.902,8.025,7.678,2979.0,300065
199,2011-01-25,7.385,7.17,7.668,7.113,4823.0,300065
200,2011-01-26,7.204,7.309,7.377,7.158,2129.0,300065
201,2011-01-27,7.304,7.609,7.637,6.944,3442.0,300065
202,2011-01-28,7.497,7.551,7.683,7.394,2931.0,300065
203,2011-01-31,7.592,7.664,7.669,7.428,2506.0,300065
204,2011-02-01,7.652,7.802,7.93,7.539,2878.0,300065
205,2011-02-09,7.587,7.604,7.79,7.587,1756.0,300065
206,2011-02-10,7.604,7.868,7.868,7.604,3722.0,300065
207,2011-02-11,7.856,8.135,8.419,7.819,3924.0,300065
208,2011-02-14,8.1,8.188,8.271,8.016,3348.0,300065
209,2011-02-15,8.137,8.109,8.212,8.104,2837.0,300065
210,2011-02-16,7.98,8.212,8.212,7.98,3499.0,300065
211,2011-02-17,8.271,8.374,8.376,8.156,3510.0,300065
212,2011-02-18,8.462,8.237,8.462,8.211,1937.0,300065
213,2011-02-21,8.152,8.264,8.287,8.152,2504.0,300065
214,2011-02-22,8.34,7.813,8.34,7.813,4124.0,300065
215,2011-02-23,7.756,7.966,7.976,7.756,3237.0,300065
216,2011-02-24,7.931,7.813,7.931,7.735,4977.0,300065
217,2011-02-25,7.813,7.678,7.813,7.669,4050.0,300065
218,2011-02-28,7.687,7.678,7.695,7.475,3464.0,300065
219,2011-03-01,7.713,7.904,7.926,7.628,4137.0,300065
220,2011-03-02,7.875,7.771,7.875,7.721,2491.0,300065
221,2011-03-03,7.757,7.418,7.904,7.411,4355.0,300065
222,2011-03-04,7.43,7.511,7.514,7.418,2297.0,300065
223,2011-03-07,7.651,7.542,7.651,7.516,2491.0,300065
224,2011-03-08,7.509,7.623,7.633,7.482,1962.0,300065
225,2011-03-09,7.661,7.578,7.661,7.54,2146.0,300065
226,2011-03-10,7.63,8.099,8.29,7.58,8249.0,300065
227,2011-03-11,8.069,8.099,8.271,7.873,5763.0,300065
228,2011-03-14,7.985,8.007,8.114,7.985,3227.0,300065
229,2011-03-15,8.059,7.773,8.059,7.671,3003.0,300065
230,2011-03-16,7.776,7.807,7.838,7.737,1541.0,300065
231,2011-03-17,7.787,7.495,7.787,7.437,2786.0,300065
232,2011-03-18,7.502,7.53,7.602,7.501,1264.0,300065
233,2011-03-21,7.582,7.489,7.582,7.48,1027.0,300065
234,2011-03-22,7.464,7.561,7.583,7.459,803.0,300065
